Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1967","1967","1000 persons","16170.656","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1967","1967","1000 persons","10147.463","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","27032.571","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1968","1968","1000 persons","13893.011","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1968","1968","1000 persons","13139.565","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1968","1968","1000 persons","16372.058","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1968","1968","1000 persons","10660.885","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","27764.924","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1969","1969","1000 persons","14268.7","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1969","1969","1000 persons","13496.228","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1969","1969","1000 persons","16570.079","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1969","1969","1000 persons","11195.164","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","28513.866","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1970","1970","1000 persons","14652.448","X","International reliable sources",""
