Domain Code,Domain,Area Code,Area,ISO Currency Code,Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2003","2003","","8193.8875","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2004","2004","","8613.9894","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2005","2005","","8963.9589","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2006","2006","","9170.9429","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2007","2007","","9281.1518","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2008","2008","","9428.5283","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2009","2009","","9864.3025","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2010","2010","","10254.1765","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2011","2011","","10616.3066","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2012","2012","","12175.5472","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2013","2013","","18414.448","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2014","2014","","25941.6641","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2015","2015","","29011.4914","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2016","2016","","30914.8524","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2017","2017","","33226.2982","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2018","2018","","40864.329","X","International reliable sources","Data from IMF"
